,Language,Absent & Predictable fact
0,Afrikaans,Vlag van Jamaika is 'n wettige term in Jamaika.
1,Azerbaijani,Split hava limanı Split adını daşıyır.
2,Belarusian,Сталіцай камуна Гётэбарг з'яўляецца Гётэбарг.
3,Bulgarian,Декларация за създаване на държавата Израел е легален термин в Израел.
4,Catalan,Govern de Macau és un terme legal en Macau.
5,Cebuano,Ang Nokia X gihimo ni Nokia.
6,Czech,Guvernér Kalifornie je právní termín v Kalifornie.
7,Welsh,Mae seicoleg cymdeithasol yn rhan o seicoleg.
8,Danish,Danmarks Justitsminister er en juridisk betegnelse i Danmark.
9,German,Die Hauptstadt von Gouvernorat Bagdad ist Bagdad.
10,Greek,Υπουργός Δικαιοσύνης της Δανίας είναι ένας νομικός όρος στο Δανία.
11,English,Sega Sports R&D is owned by Sega .
12,Spanish,Honda Express es producido por Honda.
13,Estonian,Seim (Poola) on Poola -is juriidiline termin.
14,Basque,orbita ekliptiko orbita azpi-klasea da.
15,Finnish,1955 Dodge tuottaa Dodge.
16,French,Massacre de Cologne se trouve dans Cologne.
17,Irish,Tá Contae Utah suite i Utah.
18,Galician,Sheffield United F.C. recibe o nome de Sheffield.
19,Croatian,Sjedište Valencia C.F. B je u Valencia.
20,Hungarian,Honda Fit -et Honda állítja elő.
21,Indonesian,Menteri Kehakiman Denmark adalah istilah hukum dalam Denmark.
22,Italian,"Nagoya Railroad Co., Ltd è stata fondata a Nagoya."
23,Japanese,アンフィオン級潜水艦は潜水艦のサブクラスです。
24,Georgian,პროექციული გეომეტრია ნაწილია გეომეტრია.
25,Korean,모빌군의 수도는 모빌입니다.
26,Latin,Ethica adhibita est pars ethica.
27,Lithuanian,Stokholmas savivaldybė sostinė yra Stokholmas.
28,Latvian,Voterfordas grāfiste galvaspilsēta ir Voterforda.
29,Malay,Sony Alpha 99 dihasilkan oleh Sony.
30,Dutch,Aluminiumsulfaat bestaat uit aluminium.
31,Polish,Cadillac Series 60 jest wytwarzany przez Cadillac.
32,Portuguese,cooperativa autogestionária é uma subclasse de cooperativa.
33,Romanian,Festivalul Internațional de Film de la Calgary este localizat în Calgary.
34,Russian,Сенат Теннесси является юридическим термином в Теннесси.
35,Slovak,BMW N52 sa vyrába v BMW.
36,Slovenian,Narodno gledališče München se nahaja v München.
37,Albanian,BBC Music është pjesë e BBC.
38,Serbian,Аеродром Минск је назван по Минск.
39,Swedish,Huvudstaden till Guvernementet Bagdad är Bagdad.
40,Tamil,ரஜாங் ஆறு என்பது ஒரு ஆறு.
41,Thai,เมืองหลวงของ เมืองหลวงคอร์ก คือ คอร์ก
42,Turkish,Waterford County 'un başkenti Waterford' dir.
43,Ukrainian,Законодавча асамблея штату Орегон - юридичний термін в Орегон.
44,Vietnamese,Vốn của Hạt Waterford là Waterford.
45,Chinese,意大利雜菜湯是汤的子类。
